ID;x;y;year;field_id;ahn_mean;crop_name;ndvi_values
15 ; 220825.094785963 ; 452267.885353289 ; 2016 ; 18248 ; NA ; Bos, blijvend, met herplantplicht ; []
15 ; 220825.094785963 ; 452267.885353289 ; 2014 ; 901034 ; NA ; Bos, blijvend, met herplantplicht ; []
15 ; 220825.094785963 ; 452267.885353289 ; 2013 ; 1865259 ; NA ; Bos, blijvend, met herplantplicht ; []
15 ; 220825.094785963 ; 452267.885353289 ; 2012 ; 2951503 ; NA ; Bos, blijvend, met herplantplicht ; []
15 ; 220825.094785963 ; 452267.885353289 ; 2015 ; 3610460 ; NA ; Bos, blijvend, met herplantplicht ; []
15 ; 220825.094785963 ; 452267.885353289 ; 2017 ; 4725328 ; NA ; Bos, blijvend, met herplantplicht ; [0.318, 0.426, 0.57, 0.642, 0.687]
16 ; 220923.37340121 ; 452054.193557327 ; 2016 ; 699672 ; 1418.25 ; Grasland, blijvend ; [0.532844, 0.6158, 0.642967, 0.634156, 0.561089]
16 ; 220923.37340121 ; 452054.193557327 ; 2014 ; 1128396 ; 1418.25 ; Grasland, blijvend ; [0.5296, 0.509133, 0.558278, 0.585078, 0.600922]
16 ; 220923.37340121 ; 452054.193557327 ; 2013 ; 2239627 ; 1418.25 ; Grasland, blijvend ; [0.4111, 0.481689, 0.473933, 0.496425, 0.508167]
16 ; 220923.37340121 ; 452054.193557327 ; 2012 ; 2685601 ; 1418.25 ; Grasland, blijvend ; []
16 ; 220923.37340121 ; 452054.193557327 ; 2015 ; 3650505 ; 1418.25 ; Grasland, blijvend ; [0.502311, 0.506067, 0.468789, 0.515022, 0.636278]
16 ; 220923.37340121 ; 452054.193557327 ; 2017 ; 4489973 ; 1418.25 ; Grasland, blijvend ; [0.543, 0.612, 0.696, 0.417, 0.393]
17 ; 220712.212569324 ; 451502.860498515 ; 2016 ; 217153 ; 1408.1333333333334 ; Grasland, blijvend ; [0.495933, 0.552433, 0.555489, 0.566778, 0.530367]
17 ; 220712.212569324 ; 451502.860498515 ; 2014 ; 1122123 ; 1408.1333333333334 ; Grasland, blijvend ; [0.548522, 0.487211, 0.499533, 0.542622, 0.567956]
17 ; 220712.212569324 ; 451502.860498515 ; 2013 ; 2254444 ; 1408.1333333333334 ; Grasland, blijvend ; [0.360811, 0.505778, 0.426033, 0.426122, 0.456522]
17 ; 220712.212569324 ; 451502.860498515 ; 2012 ; 2503169 ; 1429.2 ; Grasland, blijvend ; []
17 ; 220712.212569324 ; 451502.860498515 ; 2015 ; 3531723 ; 1408.1333333333334 ; Grasland, blijvend ; [0.390056, 0.485189, 0.414044, 0.421967, 0.526356]
17 ; 220712.212569324 ; 451502.860498515 ; 2017 ; 4117053 ; 1408.1333333333334 ; Grasland, blijvend ; [0.474, 0.597, 0.666, 0.66, 0.63]
18 ; 220858.11192216 ; 451429.143907892 ; 2016 ; 314780 ; 1455.0833333333333 ; Grasland, blijvend ; [0.4215, 0.353071, 0.394071, 0.463857, 0.401543]
18 ; 220858.11192216 ; 451429.143907892 ; 2014 ; 1122122 ; 1446.3076923076924 ; Grasland, blijvend ; [0.446114, 0.316557, 0.359086, 0.414743, 0.455571]
18 ; 220858.11192216 ; 451429.143907892 ; 2013 ; 2254439 ; 1446.3076923076924 ; Grasland, blijvend ; [0.221143, 0.3664, 0.323614, 0.304171, 0.328386]
18 ; 220858.11192216 ; 451429.143907892 ; 2012 ; 2503169 ; 1429.2 ; Grasland, blijvend ; []
18 ; 220858.11192216 ; 451429.143907892 ; 2015 ; 3826501 ; 1455.0833333333333 ; Grasland, blijvend ; [0.178729, 0.271129, 0.271229, 0.317671, 0.428814]
18 ; 220858.11192216 ; 451429.143907892 ; 2017 ; 4020960 ; 1455.0833333333333 ; Grasland, blijvend ; [0.513, 0.585, 0.654, 0.684, 0.684]
19 ; 223066.980092191 ; 451527.426012973 ; 2016 ; 734419 ; 1622.2941176470588 ; Grasland, blijvend ; [0.499414, 0.582229, 0.580057, 0.631943, 0.565357]
19 ; 223066.980092191 ; 451527.426012973 ; 2014 ; 1117747 ; 1623.0 ; Grasland, blijvend ; [0.459783, 0.498983, 0.528717, 0.594033, 0.618783]
